name,released,genres,platforms,rating,metacritic,ratings_count
Inspector Gadget: Mad Time Party,2023-09-15,"Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,0
UNO - The Call of Yara,2021-10-14,Casual,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Match Three Pirates II,2021-12-16,"Adventure, RPG, Casual, Strategy, Family, Indie","PC, Nintendo Switch",0.0,,0
Ghost Grab 3000,2020-07-03,"Casual, Indie, Action","PC, Nintendo Switch",0.0,,0
Repressed,2020-03-27,Adventure,"PC, Nintendo Switch",0.0,,0
Arcade Archives SAINT DRAGON,2020-02-06,,"PlayStation 4, Nintendo Switch",0.0,,0
Lonely Mountains: Downhill - Eldfjall Island,2020-10-22,"Racing, Indie, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",0.0,,0
Batsugun Saturn Tribute Boosted,2023-05-24,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Cat Girl Without Salad: Amuse-Bouche,2020-04-01,"Racing, Adventure, Action, RPG, Casual, Strategy, Sports, Indie","PC, Nintendo Switch",0.0,,0
Nioh 2 - The Tengu's Disciple,2020-07-30,"Adventure, Action, RPG",PlayStation 5,0.0,,0
PS Remote Play,2020-11-15,Platformer,"PlayStation 5, PlayStation 4",0.0,,1
Apex Legends - Escape Pack,2021-11-11,Shooter,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,2
